Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Ariel Pink,3/9/2024, El Corazon,Music,Downtown,-5.2464353,-78.9699948,80,24.3,17.1,"{'latitude': -5.125, 'longitude': -79.0, 'generationtime_ms': 0.030994415283203125, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 1630.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [80], 'temperature_2m_max': [24.3], 'temperature_2m_min': [17.1]}}"
History Link Tours,Ongoing," Seattle, WA",Tours & Attractions,Downtown,47.6038321,-122.330062,0,6.4,-1.2,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 40.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.4], 'temperature_2m_min': [-1.2]}}"
Critical Mass Big Band,3/7/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,3,24.1,8.6,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [24.1], 'temperature_2m_min': [8.6]}}"
Autoheart,3/15/2024, El Corazon,Music,Downtown,-5.2464353,-78.9699948,80,24.3,17.1,"{'latitude': -5.125, 'longitude': -79.0, 'generationtime_ms': 0.04100799560546875, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 1630.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [80], 'temperature_2m_max': [24.3], 'temperature_2m_min': [17.1]}}"
Seattle Kraken vs. Dallas Stars,3/30/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06902217864990234, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Alvin Ailey American Dance Theater,3/15/2024 through 3/16/2024, The Paramount Theatre,Dance,Downtown,40.8697559,-73.42561952873208,63,10.8,6.9,"{'latitude': 40.874462, 'longitude': -73.420135, 'generationtime_ms': 0.0680685043334961, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 21.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [63], 'temperature_2m_max': [10.8], 'temperature_2m_min': [6.9]}}"
Cool Company,3/14/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.07605552673339844, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Manual Cinema,4/3/2024, The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
Skagit Valley Tulip Festival,4/1/2024 through 4/30/2024, Skagit Valley Tulip Festival,Festivals & Special Events,North,48.4176355,-122.3380122,3,5.5,-1.5,"{'latitude': 48.421085, 'longitude': -122.33577, 'generationtime_ms': 0.08594989776611328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 10.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [5.5], 'temperature_2m_min': [-1.5]}}"
Dancing With The Stars,3/11/2024, The Paramount Theatre,Dance,Downtown,40.8697559,-73.42561952873208,63,10.8,6.9,"{'latitude': 40.874462, 'longitude': -73.420135, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 21.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [63], 'temperature_2m_max': [10.8], 'temperature_2m_min': [6.9]}}"
Tricia Romano: Voices of the Village,3/14/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
Jennifer Hartswick Band,3/23/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.07295608520507812, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Giant Pacific Octopus,Ongoing, Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06103515625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
True Northwest: The Seattle Journey,Ongoing, Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,1,6.5,-1.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05805492401123047, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.2]}}"
Mariah The Scientist,3/6/2024, The Neptune Theatre,Music,University District,,,,,,
Veeze,3/14/2024, The Neptune Theatre,Music,University District,,,,,,
The Forensic Archive of Landscapes: Paloma Contreras Lomas,3/20/2024, Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024, accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,1,7.0,-1.7,"{'latitude': 47.39018, 'longitude': -122.240555, 'generationtime_ms': 0.07903575897216797, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 11.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [7.0], 'temperature_2m_min': [-1.7]}}"
Sanctuary City,Now through 3/31/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center,47.6145597,-122.3285576,1,6.2,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06198883056640625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 53.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.2], 'temperature_2m_min': [-1.5]}}"
LeMay – America’s Car Museum,Ongoing, LeMay - America's Car Museum,Museums,South,47.2362108,-122.43044382406997,2,6.5,-1.3,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.06210803985595703, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 31.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [6.5], 'temperature_2m_min': [-1.3]}}"
R.A.P. Ferreira,4/5/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.05698204040527344, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Angie McMahon,3/11/2024, The Crocodile,Music,Downtown,47.6146474,-122.3490734,1,6.3,-1.4,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 35.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.4]}}"
West Seattle Farmers Market – Sundays,Ongoing, West Seattle Farmers Market,Festivals & Special Events,West Seattle,47.5620654,-122.3869194,1,5.5,-0.4,"{'latitude': 47.555702, 'longitude': -122.38997, 'generationtime_ms': 0.06496906280517578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 99.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [5.5], 'temperature_2m_min': [-0.4]}}"
Tacoma Stars vs. Empire Strykers,3/23/2024, accesso ShoWare Center,Sports,South,47.38765995,-122.24000381780328,1,7.0,-1.7,"{'latitude': 47.39018, 'longitude': -122.240555, 'generationtime_ms': 0.07092952728271484, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 11.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [7.0], 'temperature_2m_min': [-1.7]}}"
Flyana Boss,3/21/2024, Barboza,Music,Capitol Hill / Central District,-13.248885,-41.0275842,45,30.1,21.9,"{'latitude': -13.25, 'longitude': -41.0, 'generationtime_ms': 0.033020973205566406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 495.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [45], 'temperature_2m_max': [30.1], 'temperature_2m_min': [21.9]}}"
Sleater-Kinney,4/2/2024 through 4/3/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.055909156799316406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Candlelight Concert: The Best of Joe Hisaishi,3/7/2024, Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07998943328857422, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
